1girl,1个女性
s&w_m&p,S＆W M＆P
rickenbacker,里肯贝克
circumcised,割礼
multishot_rocket_launcher,Multishot Rocket Launcher
nagashi_soumen,Nagashi Soumen
gazelle_tail,瞪羚尾巴
nautilus_(animal),Nautilus（动物）
goggles_on_eyes,眼镜在眼睛上
wifi_symbol,wifi符号
apron_removed,围裙被拆除
double_helix,双螺旋
large_bulge,大隆起
purple_corset,紫色紧身胸衣
supreme_(module),至尊（模块）
beige_blouse,米色上衣
holding_handkerchief,握着手帕
veil_lift,面纱提升
devil_trigger,魔鬼触发器
jewelry_box,珠宝盒
cookie_cutter,曲奇切刀
game_boy_advance_sp,Game Boy Advance SP
collar_removed,衣领被拆除
grip,紧握
gn_drive,GN驱动器
anti-tank_rifle,反坦克步枪
dotera_(clothes),dotera（衣服）
antenna_mast,天线桅杆
sparkling_daydream,起泡的白日梦
graph_(object),图（对象）
fake_antennae,假天线
fox_statue,福克斯雕像
inarizushi,inarizushi
snow_sculpture,雪雕塑
implied_erection,暗示勃起
hedgehog_tail,刺猬尾巴
leopon_(animal),豹（动物）
desert_camouflage,沙漠伪装
balisong,Balisong
holding_hair_dryer,握住吹风机
purple_sports_bra,紫色运动胸罩
prattkeeping_(meme),prattkeeping（模因）
crystal_wings,晶体翅膀
eyedrops,眼药水
rhinoceros,犀牛
mihoshi_academy_uniform,Mihoshi Academy制服
racking_slide,机架滑梯
monkey_costume,猴子服装
fur-trimmed_crop_top,毛皮磨碎的作物顶部
radio_booth,广播亭
floating_necktie,漂浮的领带
licking_blood,舔血
aqua_pubic_hair,水耻头发
abs_cutout,腹肌切口
bucket_of_chicken,鸡肉桶
cheek_piercing,脸颊穿孔
geisha,艺妓
chain_between_breasts,乳房之间的链
hoodie_removed,连帽衫拆除
plaid_neckerchief,格子脖子
quick_shirt,快速衬衫
heart_apron,心脏围裙
marmot_ears,摩托耳朵的耳朵
print_mask,打印口罩
finger_wagging,手指摇摆
zipper_panties,拉链内裤
lego_(medium),乐高（中）
sexy_guilty_(idolmaster),性感的罪恶（偶像司机）
tadpole,蝌蚪
spider_print,蜘蛛印刷
zaisu,Zaisu
peephole,窥视孔
safe_(container),安全（容器）
pikarigaoka_middle_school_uniform,Pikarigaoka中学校服
hand_in_pantyhose,手中的连裤袜
conservatory,温室
field_ration,现场评估
blade_to_throat,刀片到喉咙
mini_dragon,迷你龙
closing_door,关门
after_footjob,足球后
sekai_wo_kakumei_suru_chikara_wo,sekai wo kakumei suru chikara wo
stretcher,担架
spirits,精神
dio_brando_(cosplay),Dio Brando（角色扮演）
jitte,吉特
komeiji_satori_(cosplay),Komeiji Satori（角色扮演）
strip_mahjong,脱衣舞
kakera,卡凯拉
neck_brace,脖子支撑
face_hug,脸拥抱
laser_rifle,激光步枪
victory,胜利
black_nightgown,黑色睡衣
gold_nails,金指甲
tsuba_(guard),Tsuba（后卫）
harpy_boy,哈比男孩
mixing,混合
tenjou_utena_(cosplay),Tenjou Utena（角色扮演）
cross_cutout,交叉切口
bonfire_(dark_souls),篝火（黑暗的灵魂）
mikuru_beam,mikuru束
alternate_race,替代种族
http_status_code,HTTP状态代码
holding_sheet,保持床单
solar_panel,太阳能板
radiator,散热器
pink_bloomers,粉红色的开花器
cross_tattoo,十字纹身
soybean,大豆
transparent_curtains,透明的窗帘
ice_cream_bar,冰淇淋吧
gilgamesh_(fate)_(cosplay),Gilgamesh（命运）（角色扮演）
character_chart,字符图
yellow_bandana,黄色头巾
saber_lily_(cosplay),军刀百合（角色扮演）
hand_blush,手脸红
cum_on_sheets,暨在床单上
on_top_of_pole,杆上
sliced,切片
wrapping,包装
soup_ladle,汤钢包
may_(pokemon)_(cosplay),五月（口袋妖怪）（角色扮演）
miserable_fate,悲惨的命运
gotland_(kancolle)_(cosplay),哥德兰（kancolle）（角色扮演）
haruna_(kancolle)_(cosplay),Haruna（Kancolle）（角色扮演）
airplane_arms,飞机武器
frog_raincoat,青蛙雨衣
legs_grab,腿抓住
crab_girl,螃蟹女孩
concealed_sword,隐藏的剑
putting_on_boots,穿靴子
clippers,剪子
head_hold,头握住
ots-14,OTS-14
doll_on_head,洋娃娃头
marmot_girl,marmot女孩
saint_snow,圣雪
structure,结构体
spider_gag,蜘蛛塞
triforce_print,Triforce打印
under_shot,射击下
lavender_skirt,薰衣草裙
itou_ikuko_(style),itou ikuko（样式）
bladeless_fan,无刀扇
seek_solve_summer_walk!_(umamusume),寻求解决夏季步行！ （鲜味）
sennheiser,Sennheiser
start:dash!!,开始：dash！
holding_folder,保持文件夹
binaural_microphone,双耳麦克风
diamond_sword,钻石剑
eye_of_providence,普罗维登斯的眼睛
print_camisole,打印吊带镜
chimerism,嵌合
misty_(pokemon)_(cosplay),薄雾（口袋妖怪）（角色扮演）
snickers,窃笑
shorts_lift,短裤抬起
conjoined,结合
derringer,德林格
tiro_finale,蒂罗结局
karaoke_box,卡拉OK盒子
iguana,鬣蜥
6_9,6 9
white_ensign,白色少尉
steeple,尖顶
heaven_condition,天堂状况
overflowing,溢出
ledge,壁架
sardegna_empire_(emblem),萨德格纳帝国（徽章）
ootori_gakuen_school_uniform,Ootori Gakuen校服
inaba_tewi_(cosplay),Inaba Tewi（角色扮演）
seams,接缝
launching,发射
pumpkin_on_head,南瓜头
forget-me-not_(flower),忘记我 - 不（花）
too_many_butterflies,蝴蝶太多
dark_rhongomyniad,深rhongomyniad
majorette,专业
biscuit_(bread),饼干（面包）
slosher_(splatoon),Slosher（Splatoon）
workshop,作坊
rope_train,绳索火车
bust_(sculpture),胸围（雕塑）
very_long_tail,尾巴很长
edie_crop_hoodie,Edie Crop Hoodie
vital_sunflower_(idolmaster),重要的向日葵（偶像崇拜者）
s4_uniform,S4均匀
cucumber_slice,黄瓜切片
security_camera,监视器
tied_skirt,绑裙
intangible,无形
across_the_stars_(idolmaster),跨星星（偶像崇拜者）
snow_shovel,雪铲
good_meat_day,美好的一天
squishing,挤压
minoseki_gakuin_uniform,梅塞基·加库因统一
white_polka_dots,白圆点
gamecube_controller,GameCube控制器
male_prostitution,男性卖淫
catalyst_scimitar,催化剂弯刀
removing_hat,脱帽子
tabard_lift,标签提升
broken_screen,屏幕损坏
shinjuku_(tokyo),新月（东京）
culottes,Culottes
remote_control_vehicle,遥控车辆
holding_case,举行案件
jade_(gemstone),玉（宝石）
alstroemeria_(idolmaster),alstroemeria（Idolmaster）
siscon,西斯康
engineer,工程师
hot_sauce,辣酱
jukebox,自动点唱机
bowling_pin,保龄球
stanag_magazine,Stanag杂志
earring_removed,耳环移开
single_bare_arm,单个裸手臂
sitting_on_ball,坐在球上
orange_tongue,橙色的舌头
mechanical_boots,机械靴子
half-soles,半底
grapefruit,西柚
female_fertilization,女性受精
walther_p38,Walther P38
vending_cart,自动售货购物车
cum_on_tail,暨在尾巴上
holding_crayon,抱着蜡笔
gerbera,格伯拉
cartoonized,漫画
torn_bow,鞠躬
bunny_ornament,兔子装饰品
pringle_duck,普林格鸭
cradling_head,摇篮的头
no_horn,没有号角
sawed-off_shotgun,锯枪
acid_trip,酸跳
riot_shield,防暴盾牌
ski_gear,滑雪装备
assassin,刺客
lounging,闲逛
huge_horns,巨大的角
imminent_bite,迫在眉睫
footjob_over_clothes,脚掉衣服
christmas_dress,圣诞礼服
shooting_gallery,拍摄画廊
kazami_yuuka_(cosplay),卡萨米Yuuka（角色扮演）
wheelie,车轮
heart_arrow,心箭
bonk,邦克
bunches,束
neglect_play,忽视比赛
old-fashioned_doughnut,老式的甜甜圈
feast,盛宴
constellation_costume,星座服装
thors_military_academy_class_vii_uniform,Thors军事学院VII级制服
meruru_(oreimo)_(cosplay),Meruru（Oreimo）（角色扮演）
flat_top_chef_hat,平坦的顶级厨师帽子
mt._silver,公吨。银
torn_hakama,撕裂哈卡马
2d_dating,2D约会
rosenburg_engel_(idolmaster),罗森堡·恩格尔（Rosenburg Engel）
waist_hold,腰部
yazawa_nico_(cosplay),Yazawa Nico（角色扮演）
kafuu_chino_(cosplay),Kafuu Chino（角色扮演）
supportasse,支持
skull_hat_ornament,头骨帽子装饰
yonic_symbol,yonic符号
vomiting_cum,呕吐暨
elbow_on_table,肘部在桌子上
curly_eyebrows,卷曲的眉毛
heart-shaped_cake,心形蛋糕
sitting_on_drum,坐在鼓上
marnie_(pokemon)_(cosplay),Marnie（Pokemon）（角色扮演）
sherlock_holmes_(cosplay),夏洛克·福尔摩斯（角色扮演）
dynamax_ball,Dynamax Ball
udder,乳房
za_warudo,Za Warudo
sea_cucumber,海参
hiking,远足
eggshell_hat,蛋壳帽子
bands,乐队
quadcopter,四轮驱动器
dachshund,腊肠
goal,目标
stoat_girl,Stoat Girl
mofumofuen_(idolmaster),mofumofuen（iDolmaster）
meister_otome_uniform,Meister Otome制服
slurping,sl
argyle_shirt,Argyle衬衫
snowstorm,暴风雪
eclair_(food),Eclair（食物）
vomiting_rainbows,呕吐彩虹
panzerkampfwagen_ii,Panzerkampfwagen II
bunny_head,兔子头
mute,沉默的
orange_sash,橙色窗扇
muscle_envy,肌肉嫉妒
removing_sock,去除袜子
cardigan_under_jacket,夹克下的开衫
sunfish,翻车鱼
monokini,Monokini
kimono_on_shoulders,和服在肩膀上
neon_palette,霓虹灯调色板
detached_ahoge,独立的Ahoge
negative,消极的
key_hair_ornament,关键的发饰
amazons_quartet,亚马逊四重奏
penis_biting,阴茎咬
tourmaline,电气石
sock_on_penis,阴茎上的袜子
wet_thighhighs,大腿湿高
double_\n/,双\ n/
standing_on_another's_head,站在另一个人的头上
crib,婴儿床
libra,天秤座
anteater,食气
elevator_door,电梯门
silver_nails,银指甲
mental_cube_(azur_lane),心理立方体（Azur Lane）
standing_restraints,站立限制
bad_face,不好的脸
mystic_eyes_of_death_perception,死亡感知的神秘眼睛
gradient_sleeves,梯度袖子
stomach_ache,腹痛
arm_slave_(mecha),手臂奴隶（机甲）
aquarius,水瓶座
zashiki-warashi,Zashiki-Warashi
massage_chair,按摩椅
maclone,麦克隆
tapping,窃听
revealing_tanlines,揭示密宗
hair_wagging,头发摇摆
ro635,RO635
quarian,Quarian
tanning_oil,晒黑油
chilla_(arms),奇拉（武器）
checkered_jacket,方格夹克
mecha_danshi,机甲丹史
vsk-94,VSK-94
vietnam,越南
cavalry,骑兵
skull_brooch,头骨胸针
adjusting_shorts,调整短裤
coat_rack,外套架
three_section_staff,三个部分员工
brown_hood,棕色引擎盖
gibbous_moon,长子月亮
emoji_censor,表情符号审查员
triple_horizontal_stripe,三重水平条纹
hufflepuff,赫芬帕夫
iphone_11_pro,iPhone 11 Pro
waking_another,醒来另一个
metal_gear_(robot),金属装备（机器人）
turning_page,翻页
gasterblaster,Gasterblaster
musashi_(kancolle)_(cosplay),Musashi（Kancolle）（角色扮演）
sex_toy_pull,性玩具拉
skillet,煎锅
yukata_lift,Yukata升降机
in_cell,在细胞中
black_wrist_cuffs,黑色腕袖
simon_shades,西蒙阴影
luna_blaster_(splatoon),Luna Blaster（Splatoon）
wing_tattoo,机翼纹身
nagant_m1895,Nagant M1895
smartwatch,智能手表
shiny_rod,闪亮的杆
brough_superior,Brough Superior
too_many_birds,鸟太多
heaven,天堂
morning_glory_print,牵牛花印花
narrative_formation,叙事形成
hannya_(arknights),汉尼亚（Arknights）
coif,COIF
frog_hat,青蛙帽子
poses,姿势
portmanteau,港口
penguin_hat,企鹅帽
gold_horns,金角
outstretched_foot,伸出脚
dog_hat,狗帽
type_21_air_search_radar,类型21空气搜索雷达
revealing_swimsuit_(dq),露出泳衣（DQ）
bathroom_scale,浴室秤
pale_eye,苍白的眼睛
sashimono,生鱼片
yatagarasu,yatagarasu
bugles_on_fingers,手指上的号角
cum_in_eye,暨在眼中
amazake_(drink),Amazake（饮料）
usada_pekora_(cosplay),USADA PEKORA（角色扮演）
beagle,小猎犬
bitter_melon,苦瓜
hot_drink,热饮
naked_armor,裸露的盔甲
dual-purpose_gun,双用枪
teeth_print,牙齿打印
awestruck,敬畏
dress_straps,着装皮带
tsuka_(handle),tsuka（手柄）
fake_nose,假鼻子
hat_bell,帽子铃
skunk_ears,臭耳朵
cheetah_girl,猎豹女孩
spanish_flag,西班牙国旗
flandre_day,弗兰德一天
holding_cannon,持有大炮
pretzel_bikini,椒盐脆饼比基尼
ear_fondling,耳朵抚摸
fruit_on_liquid,液体上的水果
car_crash,车祸
helping,帮助
lace-trimmed_kimono,蕾丝饰边和服
mining_helmet,采矿头盔
thighhigh_dangle,大腿悬挂
adjusting_headphones,调整耳机
bloody_handprints,血腥的手印
forced_partners,强迫伙伴
hand_on_belt,手上的手
tan_skirt,棕褐色裙子
jeanne_d'arc_alter_santa_lily_(fate)_(cosplay),Jeanne d'Arc Alter Santa Lily（命运）（角色扮演）
head_fuse,头部保险丝
500_dollar_four_foot_tall_mareep_(meme),500美元四英尺高的马普（模因）
tied_dress,绑衣
excalibur_galatine_(fate),excalibur galatine（命运）
listening,听
glutton,馋嘴
military_police_brigade_(emblem),军警察旅（标志）
pushpin,Pushpin
supermarine_spitfire,超级海洋烈性人
grey_collar,灰色的衣领
lace-trimmed_eyepatch,蕾丝饰带的眼镜
obsydia_(nijisanji),obsydia（nijisanji）
licking_stomach,舔胃
zebra_girl,斑马女孩
holding_rattle,握住拨浪鼓
tatenashi_high_school_uniform,塔塔纳西高中制服
union_jack_bikini,联合杰克比基尼
laughing_man_(ghost_in_the_shell),笑男（壳里的幽灵）
wotagei,Wotagei
peas,豌豆
soldering_iron,烙铁
maihama_minami_high_school_uniform,Maihama Minami高中制服
toe_socks,脚趾袜
excavator,挖掘机
nice_boat_(meme),好船（模因）
solar_system,太阳系
red_(pokemon)_(cosplay),红色（口袋妖怪）（角色扮演）
pig_costume,猪服装
unconventional_guitar,非常规吉他
fujiwara_no_mokou_(cosplay),Fujiwara no Mokou（角色扮演）
good_ass_day,好屁股的一天
striped_sarong,条纹围裙
muji_body_fitting_sofa,Muji身体配件沙发
the_end_(phrase),末端（短语）
color_coordination,颜色协调
mating_(animal),交配（动物）
nagato_(kancolle)_(cosplay),长门（Kancolle）（角色扮演）
fou_(fate)_(cosplay),福（命运）（角色扮演）
spiked_horns,尖刺的角
blazblue_insignia,Blazblue徽章
blowing_whistle,吹口哨
sitting_on_fence,坐在栅栏上
skull-shaped_hat,头骨形帽子
withered,干枯
baby_carrier,童车
cure_marine_(cosplay),治愈海洋（角色扮演）
luxury_ball,豪华球
kel-tec,kel-tec
rescue,救援
badger_ears,badge耳
team_aqua_uniform,团队Aqua制服
diamond_pickaxe,钻石镐
cutlery,刀具
breast_massage,乳房按摩
table_of_contents,目录
military_police,宪兵
zebra_tail,斑马尾巴
starry_hair,星空的头发
japari_coin,Japari硬币
ft-17,FT-17
cotton_ball,棉花球
double_chin,双下巴
totem,图腾
lace_hairband,蕾丝发带
tape_recorder,磁带录音机
barrett,巴雷特
panorama,全景
cancer,癌症
wringing,扭动
yellow_teeth,黄色的牙齿
h8k,H8K
toyota_sprinter_trueno,丰田短跑运动员Trueno
muslim,穆斯林
shirt_hold,衬衫握住
severed_leg,切断的腿
coelacanth,Coelacanth
self_bondage,自束缚
fake_scrollbar,假滚动条
dim_sum,点心
jaguar,捷豹
oppai_oppai,Oppai Oppai
beam_cannon,梁大炮
kamina_pose,Kamina姿势
dvd,DVD
northern_parliament_(emblem),北部议会（标志）
pink_cat,粉红色的猫
kawakami_academy_uniform,川木学院制服
tweaking_own_nipple,调整自己的乳头
bowl_stack,碗堆
robot_sex,机器人性爱
purple_wristband,紫色腕带
cutting_own_hair,剪头发
refrigerator_interior,冰箱内部
taishou,泰肖
paperwork,文书工作
bang_(gesture),爆炸（手势）
whole_note,全笔记
tanline_peek,晒黑
headwear_with_attached_mittens,带有连指手套的头饰
super_saiyan_god,超级赛亚神
imi_negev,Imi Negev
rear_naked_choke,后赤裸的cho
clubroom,俱乐部房间
anya_(spy_x_family)_(cosplay),Anya（间谍X系列）（角色扮演）
scathach_(fate)_(cosplay),Scathach（命运）（角色扮演）
illumination_stars_(idolmaster),照明星（Idolmaster）
cinderella_dream_(idolmaster),灰姑娘梦（偶像崇拜者）
ink_on_face,墨水在脸上
kissing_foot,接吻脚
tokonoma,Tokonoma
denial,否认
heart_attack,心脏病发作
cleaning_windows,清洁窗户
half-split_chopsticks,半分的筷子
finishing_move,完成动作
feet_together,脚在一起
trypophobia,恐惧症
clothes_iron,熨斗
hand_to_hand,手把手
guan_dao,关
bugle,号角
centipede_girl,centipede女孩
mad_burnish,疯狂
pornstar,色情明星
akm,akm
rupee,卢比
suigintou_(cosplay),Suigintou（角色扮演）
severed_finger,切断的手指
snake_box_sneak,蛇盒偷偷摸摸
panties_on_breasts,乳房上的内裤
h&k_g41,H＆K G41
ashiyu,Ashiyu
shapes,形状
glass_wall,玻璃墙
hakutaku,hakutaku
scroll_tube,滚动管
backless_pants,露背裤子
monohoshizao,monohoshizao
green_tube_top,绿色管顶
print_thighhighs,打印大腿
shinkansen,新干线
jelly,果冻
time_machine,时间机器
opening_eyes,睁开眼睛
torn_neckerchief,撕裂的脖子
golden_rose,金玫瑰
kokorowatari,Kokorowatari
hands_on_another's_wrists,手上的手腕
jingle_bell_earrings,叮当声耳环
subway_station,地铁站
skunk_tail,臭虫尾巴
unbuckled,解开
sothis_(fire_emblem)_(cosplay),Sothis（Fire Emblem）（角色扮演）
apple_print,苹果印花
yoshida_akihiko_(style),Yoshida Akihiko（风格）
pokemon_ranger_uniform,口袋妖怪游侠制服
stump_cover,树桩盖
crown_print,皇冠印刷
toy_train,玩具火车
arm_shield,臂盾
reverse_paizuri,反向Paizuri
m16a4,M16A4
type_95_ha-gou,键入95 ha-gou
metal_wings,金属翅膀
bead_curtain,珠帘
akagi_(kancolle)_(cosplay),Akagi（Kancolle）（角色扮演）
gold_headband,金头带
tsunokakushi,Tsunokakushi
standing_on_chair,站在椅子上
pillion,pillion
myouren_temple,迈罗神庙
joint_lock,关节锁
natural_sign,自然标志
hand_on_sheath,手上的鞘
bubble_wand,泡泡棒
foothold_trap,立足陷阱
land_striker,陆地前锋
greco-roman_architecture,希腊罗马建筑
okosama_lunch,Okosama午餐
vichya_dominion_(emblem),Vichya Dominion（标志）
glider,滑翔机
demon_costume,恶魔服装
single_half_glove,单身手套
audio-technica,音频技术
torn_necktie,撕裂的领带
revenge,复仇
trigger,扳机
eruption,喷发
scotch_(cookie)_(style),苏格兰人（cookie）（样式）
partial_bodysuit,部分紧身衣裤
sleeves_removed,袖子去除
materializing,实现
body_soaping,身体肥皂
holding_tripod,持有三脚架
sitting_on_wall,坐在墙上
froth,泡沫
penis_hug,阴茎拥抱
shiritori,Shiritori
poop_on_a_stick,棍子上的大便
dragon_dildo,龙假阳具
dead_animal,死动物
queen_of_hearts_(card),红心女王（卡）
orange_collar,橙色的衣领
mimikyu_(cosplay),mimikyu（角色扮演）
tail_brushing,尾巴刷
pokemon_gym,口袋妖怪健身房
hyadain_no_kakakata_kataomoi_-_c,hyadain no kakakata kataomoi -c
dribbling_(basketball),运球（篮球）
frog_panties,青蛙内裤
hand_gagged,手工堵嘴
sheer_gloves,透明的手套
white_overalls,白色工作服
dvddvd_(meme),DVDDVD（模因）
crazy_grin,疯狂的笑容
gopnik,Gopnik
body_jewelry,身体珠宝
religious_offering,宗教奉献
card_with_aura,带有光环的卡
sewing_kit,针线包
in_pot,在锅中
pikachu_costume,皮卡丘服装
hallelujah_essaim,哈利路亚·埃塞姆（Hallelujah Essaim）
infinity_gauntlet,无限手套
nemes,元素
nobiiru_arm,Nobiiru手臂
tug_of_war,拖船
moose,驼鹿
cloud_strife_(cosplay),云冲突（角色扮演）
finish_line,终点线
three_sizes,三个尺寸
tube_top_lift,管顶升降机
energy_spear,能量长矛
desert_tech_mdr,沙漠技术MDR
removing_bandaid,删除创可贴
villain_pose,反派姿势
swallow_(bird),燕子（鸟）
cat_ear_hairband,猫耳发带
impact_(font),冲击（字体）
glass_teacup,玻璃茶杯
yellow_armor,黄色盔甲
green_sports_bra,绿色运动胸罩
cramped,狭窄
pov_bullying,POV欺凌
ragfes,破烂
double_driver,双驱动器
retweet_chicks,转发小鸡
naked_hood,裸罩
spike,长钉
eye_poke,眼睛戳
lever,杠杆
reverse_prayer,反向祈祷
mortar_headd,砂浆头
robe_lift,长袍抬起
asymmetrical_eyebrows,不对称的眉毛
folding_bicycle,折叠自行车
glowing_skin,发光的皮肤
poppin'party,Poppin'party
kasugayama_high_school_uniform,Kasugayama高中制服
delorean,DeLorean
rpk-16,RPK-16
testicles_on_face,睾丸面对面
houkago_climax_girls_(idolmaster),Houkago Climax Girls（Idolmaster）
in_cauldron,在大锅中
clay,粘土
yobai,Yobai
izakaya,Izakaya
chouchin_obake,chouchin obake
keyhole_panties,钥匙孔内裤
chloroform,氯仿
velociraptor,Velociraptor
clown_mask,小丑面具
ukraine,乌克兰
wedding_cake,结婚蛋糕
dream_academy_uniform,梦想学院制服
frilled_cape,褶皱斗篷
kissing_shoulder,亲吻肩膀
sakura_card,樱花卡
iron_bars,铁棒
dvd_(object),DVD（对象）
cable_tie,电缆领带
see-through_body,透明的身体
letter_hair_ornament,字母发饰
yaopei,Yaopei
fireman's_carry,消防员的随身携带
anchor_tattoo,锚纹身
pork,猪肉
hand_in_mouth,手中
narcissism,自恋
binder_clip,活页夹夹
heart_stickers,心脏贴纸
z1_leberecht_maass_(kancolle)_(cosplay),Z1 Leberecht Maass（Kancolle）（角色扮演）
namekian,Namekian
marigold,万寿菊
officer,官
plant_monster,植物怪物
blue_scales,蓝色秤
manly_tears,男子气概的眼泪
ak-15,AK-15
japan_air_self-defense_force,日本空气自卫队
forced_perspective,强迫观点
liquid_weapon,液体武器
murakumo_(kancolle)_(cosplay),村上（坎科尔）（角色扮演）
fujin_yumi_(fire_emblem),Fujin Yumi（Fire Emblem）
jack-o'-lantern_hat_ornament,Jack-o'lantern帽子装饰品
mismatched_animal_ear_colors,不匹配的动物耳朵颜色
hand_wave,手浪
mofuji,mofuji
toilet_seat,马桶座圈
wet_bra,湿胸罩
chalkboard_sign,黑板标志
okapi_tail,Okapi尾巴
holding_cable,持有电缆
thunderseal,thunderseal
on_counter,在柜台
honey_dipper,蜂蜜北斗星
polka_dot_hoodie,圆点连帽衫
natural_(module),天然（模块）
conveyor_belt_sushi,传送带寿司
shopping_district,商圈
ganyu_(genshin_impact)_(cosplay),甘尼（Genshin Impact）（角色扮演）
gradient_shirt,渐变衬衫
imminent_death,即将死亡
holding_dice,拿着骰子
swinging_legs,摆动的腿
poodle,贵宾犬
inubashiri_momiji_(cosplay),Inubashiri Momiji（角色扮演）
luftwaffe,德国空军
file_cabinet,文件柜
italian_flag_print,意大利国旗打印
rocking_school_(idolmaster),摇摆学校（偶像尔马斯特）
skating_rink,滑冰场
buchi_holes,布奇洞
metal_wire,金属线
throne_room,金銮殿
reversi,反击
kaga_cape,卡加开普
wonder_zone,奇迹区
hands_on_another's_arm,手上的手臂
porcupine_ears,豪猪耳朵
parade,游行
star_pin,星形别针
tobacco,烟草
indonesian_clothes,印尼衣服
bandaid_on_ear,在耳边
grey_umbrella,灰色伞
pensive,沉思
drinking_from_condom,用避孕套喝酒
holding_magazine_(weapon),持有杂志（武器）
book_to_mouth,预订嘴
pads,垫子
barber_pole,理发店招牌
curled_tail,卷曲的尾巴
urethral_fingering,尿道指法
ass_freckles,屁股雀斑
energy_arrow,能量箭头
ribbon_bar,色带杆
leaf_skirt,叶裙
stargazy_pie,Stargazy Pie
clamp_(circle)_(style),夹具（圆）（样式）
kel-tec_rfb,kel-tec rfb
ensis_exorcizans,Ensis Exorcizans
mickey_mouse_(cosplay),米奇鼠标（角色扮演）
zweihander,Zweihander
sailing,航行
year_of_the_snake,蛇年
shockwave,冲击波
star_sticker,星形贴纸
rope_gag,绳子插科打
cradling_phone,摇篮电话
single_drill,单钻
satin_sheets,缎面
cantaloupe,哈密??瓜
spring_rider,春季骑手
biretta,Biretta
ornate_clothes,华丽的衣服
eyebrows_visible_through_mask,通过口罩可见的眉毛
armguards,武装
black_bustier,黑色的胸围
book_strap,书带
houraisan_kaguya_(cosplay),Houraisan Kaguya（角色扮演）
star_rod,星杆
lens,镜片
hide_and_seek,捉迷藏
extra_hands,额外的手
starfleet_uniform,星际统一
fascinator,迷人
bloody_wings,血腥的翅膀
biting_tongue,咬舌头
bird_on_leg,鸟在腿上
striped_fur,条纹皮毛
eientei,eientei
new_wave_(idolmaster),新浪潮（偶像师）
red_babydoll,红色的babydoll
bad_ass,坏蛋
butterflyfish,蝴蝶鱼
durandal_(fire_emblem),Durandal（火徽标）
orange_armor,橙色的盔甲
on_liquid,在液体上
film_reel,电影卷轴
shack,窝棚
mole_on_nose,鼻子上的痣
pedestrian_lights,行人灯
iron_maiden,铁娘子
superfiring,超级火
angel_french,天使法国人
deviruchi_hat,Deviruchi帽子
double_buttjob,双屁股
ice_shard,冰碎
gecko,壁虎
bell_sleeves,贝尔袖
at_field,在场上
old_maid,老女仆
wrist_blades,手腕刀片
cloud_hair,云絮状发型
green_nipples,绿色乳头
seppuku,Seppuku
bismarck_(kancolle)_(cosplay),Bismarck（Kancolle）（角色扮演）
message_in_a_bottle,瓶中的消息
underlighting,不足
holding_luggage,拿着行李
flower_swing,花秋千
blue_leggings,蓝色绑腿
masa_ni,Masa Ni
f-35_lightning_ii,F-35 Lightning II
matcha_(food),抹茶（食物）
arm_mounted_weapon,手臂安装的武器
yeti_(creature),雪人（生物）
java_sparrow,爪哇麻雀
kidokawa_seishuu,kidokawa seishuu
himitsucalibur_(fate),Himitsucalibur（命运）
heart_arms,心臂
gas,气体
food_on_legs,腿上的食物
heart_ring_bottom,心环底部
oda_eiichirou_(style),oda eiichirou（样式）
happy_maker!,快乐的制造商！
ooarai_(ibaraki),ooarai（ibaraki）
crossed_belts,交叉皮带
rope_necklace,绳索项链
side-tie_costume,侧面服装
red_clouds,红色云
no_hair_bow,没有头发弓
s.e.e.s,S.E.E.S
jk_gumi_(nijisanji),JK Gumi（Nijisanji）
scrunchie_removed,切开了
holding_bunny,抱着兔子
leaf_panties,叶内裤
impossible_skirt,不可能的裙子
lupin_dive,卢平潜水
condensed_milk,炼乳
gunlance,Gunlance
sheryl_nome_(cosplay),Sheryl Nome（角色扮演）
hangover,宿醉
pepsi_nex,百事可乐Nex
time_lapse,时间流逝
small_testicles,小睾丸
adobe_photoshop,Adobe Photoshop
static_cling,静态保留
praise_the_sun,赞美太阳
plum,李子
bad_gun_anatomy,不良枪解剖学
kirameki_high_school_uniform,基拉梅基高中制服
growling,咆哮
chullo,Chullo
natsuki_subaru_(cosplay),Natsuki Subaru（角色扮演）
crotchless_bloomers,无肩bl骨
knolling,knolling
zura_(phrase),Zura（短语）
elephant_tail,大象尾巴
liquid-in-glass_thermometer,玻璃液体温度计
blood_moon_(league_of_legends),血月（英雄联盟）
moon_gate,月球大门
beyond_the_wishes_(idolmaster),超越愿望（iDolmaster）
shine!!_(idolmaster),闪耀！！ （iDolmaster）
minnie_mouse_ears,Minnie Mouse Ears
cat_paw,猫爪
fake_whiskers,假晶须
cutesexyrobutts_(style),cutesexyrobutts（样式）
unbuttoned_dress,不扣的连衣裙
dodododo,多多多多
washpan,洗手锅
ibuki_suika_(cosplay),Ibuki Suika（角色扮演）
looking_inside,看着里面
nero_claudius_(fate/extra)_(cosplay),Nero Claudius（命运/Extra）（角色扮演）
umapyoi_(phrase),疗程（短语）
surgery,手术
print_capelet,打印帽子
punched,打孔
lantern_earrings,灯笼耳环
bow_shirt,弓衬衫
sushi_geta,寿司geta
tamagokake_gohan,Tamagokake Gohan
waiting_for_kiss,等待吻
backstage,后台
wiffle_gag,Wiffle插科打
ballroom,舞厅
steel_ball,钢球
boom_microphone,繁荣麦克风
bound_toes,束缚的脚趾
